Strain;Plant;3;4;5;6;7;8;9;10;11;Batch
Strain4;Medicago;2;2;2;2;2;NA;NA;2;NA;A
Strain4;Medicago;2;2;2;2;2;NA;NA;2;NA;A
Strain4;Medicago;2;2;2;2;2;NA;NA;2;NA;A
Strain4;Medicago;2;2;2;2;2;NA;NA;2;NA;A
Strain4;Medicago;2;2;2;2;2;NA;NA;2;NA;A
Strain4;Medicago;2;2;2;2;2;NA;NA;2;NA;A
Strain4;Medicago;2;2;2;2;2;NA;NA;2;NA;A
Strain4;Medicago;2;2;2;2;2;NA;NA;2;NA;A
Strain4;Medicago;2;2;2;2;2;NA;NA;2;NA;A
Strain4;Medicago;2;2;2;2;2;NA;NA;2;NA;A
Strain4;Medicago;2;2;2;2;2;NA;NA;4;NA;A
Strain4;Medicago;2;2;2;2;3;NA;NA;4;NA;A
Strain4;Medicago;2;2;2;2;2;NA;NA;2;NA;A
Strain5;Medicago;0;2;2;3,5;4;NA;NA;4;NA;A
Strain5;Medicago;0;0;2;3,5;4;NA;NA;4;NA;A
Strain5;Medicago;0;2;2;3,5;4;NA;NA;4;NA;A
Strain5;Medicago;2;2;3;3,5;4;NA;NA;4;NA;A
Strain5;Medicago;0;1;3;3,5;4;NA;NA;4;NA;A
Strain5;Medicago;0;1;1;3,5;4;NA;NA;4;NA;A
Strain5;Medicago;0;3;3;3,5;4;NA;NA;4;NA;A
Strain5;Medicago;0;2;2;3,5;4;NA;NA;4;NA;A
Strain5;Medicago;0;3;3,5;3,5;4;NA;NA;4;NA;A
Strain5;Medicago;0;2;3;3,5;4;NA;NA;4;NA;A
Strain5;Medicago;0;0;2;3,5;4;NA;NA;4;NA;A
Strain5;Medicago;0;2;3;3,5;4;NA;NA;4;NA;A
Strain5;Medicago;0;0;1;1;2;NA;NA;4;NA;A
Strain5;Medicago;0;0;2;3;4;NA;NA;4;NA;A
Strain5;Medicago;0;0;2;3;4;NA;NA;4;NA;A
Strain5;Medicago;0;0;0;1;4;NA;NA;4;NA;A
Strain6;Medicago;2;2;3;3,5;4;NA;NA;4;NA;A
Strain6;Medicago;0;0;0;3;3,5;NA;NA;4;NA;A
Strain6;Medicago;0;0;2;3,5;4;NA;NA;4;NA;A
Strain6;Medicago;0;0;0;3;3,5;NA;NA;4;NA;A
Strain6;Medicago;0;0;2;3,5;4;NA;NA;4;NA;A
Strain6;Medicago;0;2;2;3,5;4;NA;NA;4;NA;A
Strain6;Medicago;0;0;0;3,5;4;NA;NA;4;NA;A
Strain6;Medicago;0;0;0;0;0;NA;NA;4;NA;A
Strain6;Medicago;0;1;2;3,5;4;NA;NA;4;NA;A
Strain6;Medicago;2;3;3,5;3,5;4;NA;NA;4;NA;A
Strain6;Medicago;0;0;1;2;4;NA;NA;4;NA;A
Strain6;Medicago;0;0;2;3;4;NA;NA;4;NA;A
Strain6;Medicago;0;0;0;1;3;NA;NA;4;NA;A
Strain6;Medicago;0;1;2;3,5;4;NA;NA;4;NA;A
Strain6;Medicago;0;0;0;0;0;NA;NA;4;NA;A
Strain6;Medicago;0;0;0;0;0;NA;NA;4;NA;A
Strain7;Medicago;3;3;4;4;4;NA;NA;4;NA;A
Strain7;Medicago;1;3;3,5;4;4;NA;NA;4;NA;A
Strain7;Medicago;0;3;3,5;4;4;NA;NA;4;NA;A
Strain7;Medicago;0;2;3;4;4;NA;NA;4;NA;A
Strain7;Medicago;0;1;3;4;4;NA;NA;4;NA;A
Strain7;Medicago;0;2;3;4;4;NA;NA;4;NA;A
Strain7;Medicago;0;2;3;3,5;4;NA;NA;4;NA;A
Strain7;Medicago;0;0;1;3,5;4;NA;NA;4;NA;A
Strain7;Medicago;0;0;0;1;3;NA;NA;3;NA;A
Strain7;Medicago;2;2;3;4;4;NA;NA;4;NA;A
Strain7;Medicago;0;2;3;4;4;NA;NA;4;NA;A
Strain7;Medicago;1;1;3;3,5;4;NA;NA;4;NA;A
Strain7;Medicago;0;1;2;3,5;4;NA;NA;4;NA;A
Strain7;Medicago;0;0;2;3;4;NA;NA;4;NA;A
Strain7;Medicago;0;0;3;3,5;4;NA;NA;4;NA;A
Strain7;Medicago;0;0;1;3;4;NA;NA;4;NA;A
Strain1;Medicago;0,00;0;0;NA;4;NA;NA;4;4;C-I
Strain1;Medicago;0,00;0;3;NA;4;NA;NA;4;4;C-I
Strain1;Medicago;0;0;3;NA;4;NA;NA;4;4;C-I
Strain1;Medicago;0;2;3;NA;4;NA;NA;4;4;C-I
Strain1;Medicago;0;1;3;NA;4;NA;NA;4;4;C-I
Strain1;Medicago;0;0;1;NA;4;NA;NA;4;4;C-I
Strain1;Medicago;0;0;1;NA;4;NA;NA;4;4;C-I
Strain1;Medicago;0;0;0;NA;4;NA;NA;4;4;C-I
Strain1;Medicago;0;0;3;NA;4;NA;NA;4;4;C-I
Strain1;Medicago;0;1;3;NA;4;NA;NA;4;4;C-I
Strain1;Medicago;0;0;3;NA;4;NA;NA;4;4;C-I
Strain1;Medicago;0;0;3;NA;4;NA;NA;4;4;C-I
Strain1;Medicago;0;0;3;NA;4;NA;NA;4;4;C-I
Strain2;Medicago;0;0;0;NA;3;NA;NA;4;4;C-I
Strain2;Medicago;0;0;0;NA;0;NA;NA;0;0;C-I
Strain2;Medicago;0;0;0;NA;1;NA;NA;1;2;C-I
Strain2;Medicago;0;0;0;NA;0;NA;NA;0;0;C-I
Strain2;Medicago;0;0;0;NA;2;NA;NA;4;4;C-I
Strain2;Medicago;0;0;0;NA;0;NA;NA;0;0;C-I
Strain2;Medicago;0;0;0;NA;0;NA;NA;2;3;C-I
Strain2;Medicago;0;0;0;NA;0;NA;NA;0;0;C-I
Strain2;Medicago;0;0;0;NA;0;NA;NA;0;0;C-I
Strain2;Medicago;0;0;0;NA;0;NA;NA;0;2;C-I
Strain2;Medicago;0;0;0;NA;0;NA;NA;2;3;C-I
Strain2;Medicago;0;0;0;NA;0;NA;NA;1;2;C-I
Strain2;Medicago;0;0;0;NA;0;NA;NA;0;0;C-I
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;C-I
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;C-I
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;2;C-I
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;C-I
Strain3;Medicago;1;1;1;NA;2;NA;NA;3;4;C-I
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;C-I
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;C-I
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;C-I
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;C-I
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;C-I
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;C-I
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;C-I
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;C-I
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;C-I
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;C-I
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;3;C-I
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;C-I
Strain4;Medicago;2;2;2;NA;3;NA;NA;3;3;C-I
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;C-I
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;C-I
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;C-I
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;C-I
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;C-I
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;C-I
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;C-I
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;C-I
Strain5;Medicago;0;0;3;NA;4;NA;NA;4;4;C-I
Strain5;Medicago;0;0;3;NA;4;NA;NA;4;4;C-I
Strain5;Medicago;0;0;0;NA;4;NA;NA;4;4;C-I
Strain5;Medicago;0;0;0;NA;4;NA;NA;4;4;C-I
Strain5;Medicago;0;0;1;NA;4;NA;NA;4;4;C-I
Strain5;Medicago;0;0;0;NA;4;NA;NA;4;4;C-I
Strain5;Medicago;0;0;2;NA;4;NA;NA;4;4;C-I
Strain5;Medicago;0;0;2;NA;4;NA;NA;4;4;C-I
Strain5;Medicago;0;0;3;NA;4;NA;NA;4;4;C-I
Strain5;Medicago;0;0;0;NA;4;NA;NA;4;4;C-I
Strain5;Medicago;0;0;0;NA;4;NA;NA;4;4;C-I
Strain5;Medicago;0;0;0;NA;4;NA;NA;4;4;C-I
Strain5;Medicago;0;0;1;NA;4;NA;NA;4;4;C-I
Strain6;Medicago;0;0;0;NA;4;NA;NA;4;4;C-I
Strain6;Medicago;0;0;0;NA;4;NA;NA;4;4;C-I
Strain6;Medicago;0;0;0;NA;4;NA;NA;4;4;C-I
Strain6;Medicago;0;0;0;NA;4;NA;NA;4;4;C-I
Strain6;Medicago;0;0;0;NA;4;NA;NA;4;4;C-I
Strain6;Medicago;0;0;2;NA;4;NA;NA;4;4;C-I
Strain6;Medicago;0;1;2;NA;4;NA;NA;4;4;C-I
Strain6;Medicago;0;2;3;NA;4;NA;NA;4;4;C-I
Strain6;Medicago;0;1;3;NA;4;NA;NA;4;4;C-I
Strain6;Medicago;0;0;2;NA;4;NA;NA;4;4;C-I
Strain6;Medicago;0;1;3;NA;4;NA;NA;4;4;C-I
Strain6;Medicago;0;2;3;NA;4;NA;NA;4;4;C-I
Strain6;Medicago;0;0;0;NA;4;NA;NA;4;4;C-I
Strain7;Medicago;0;0;0;NA;4;NA;NA;4;4;C-I
Strain7;Medicago;0;0;1;NA;4;NA;NA;4;4;C-I
Strain7;Medicago;0;0;0;NA;4;NA;NA;4;4;C-I
Strain7;Medicago;0;0;0;NA;4;NA;NA;4;4;C-I
Strain7;Medicago;0;0;1;NA;4;NA;NA;4;4;C-I
Strain7;Medicago;0;0;1;NA;4;NA;NA;4;4;C-I
Strain7;Medicago;0;0;0;NA;4;NA;NA;4;4;C-I
Strain7;Medicago;0;0;0;NA;4;NA;NA;4;4;C-I
Strain7;Medicago;0;1;3;NA;4;NA;NA;4;4;C-I
Strain7;Medicago;0;0;0;NA;4;NA;NA;4;4;C-I
Strain7;Medicago;0;0;0;NA;4;NA;NA;4;4;C-I
Strain7;Medicago;0;0;1;NA;4;NA;NA;4;4;C-I
Strain7;Medicago;0;0;0;NA;4;NA;NA;4;4;C-I
Strain1;Medicago;0,00;0;3;NA;4;NA;NA;4;4;C-II
Strain1;Medicago;0,00;0;2;NA;4;NA;NA;4;4;C-II
Strain1;Medicago;0;0;0;NA;4;NA;NA;4;4;C-II
Strain1;Medicago;0;0;0;NA;4;NA;NA;4;4;C-II
Strain1;Medicago;0;0;2;NA;4;NA;NA;4;4;C-II
Strain1;Medicago;0;0;3;NA;4;NA;NA;4;4;C-II
Strain1;Medicago;0;0;2;NA;4;NA;NA;4;4;C-II
Strain1;Medicago;0;0;2;NA;4;NA;NA;4;4;C-II
Strain1;Medicago;0;0;1;NA;4;NA;NA;4;4;C-II
Strain1;Medicago;0;0;0;NA;4;NA;NA;4;4;C-II
Strain1;Medicago;0;0;1;NA;4;NA;NA;4;4;C-II
Strain1;Medicago;0;0;0;NA;4;NA;NA;4;4;C-II
Strain1;Medicago;0;1;2;NA;4;NA;NA;4;4;C-II
Strain2;Medicago;0,00;0,00;0,00;NA;0;NA;NA;0;1,00;C-II
Strain2;Medicago;0,00;0,00;0,00;NA;0;NA;NA;0;0,00;C-II
Strain2;Medicago;0;0;0;NA;0;NA;NA;0;0;C-II
Strain2;Medicago;0;0;0;NA;0;NA;NA;1;2;C-II
Strain2;Medicago;0;0;0;NA;1;NA;NA;3;4;C-II
Strain2;Medicago;0;0;0;NA;0;NA;NA;0;0;C-II
Strain2;Medicago;0;0;0;NA;0;NA;NA;0;0;C-II
Strain2;Medicago;0;0;0;NA;2;NA;NA;4;4;C-II
Strain2;Medicago;0;0;0;NA;3;NA;NA;4;4;C-II
Strain2;Medicago;0;0;0;NA;1;NA;NA;2;3;C-II
Strain2;Medicago;0;0;0;NA;3;NA;NA;3;4;C-II
Strain2;Medicago;0;0;0;NA;0;NA;NA;0;0;C-II
Strain2;Medicago;0;0;0;NA;0;NA;NA;0;0;C-II
Strain3;Medicago;1,00;1,00;1,00;NA;1;NA;NA;1;1;C-II
Strain3;Medicago;1,00;1,00;1,00;NA;1;NA;NA;1;1;C-II
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;C-II
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;C-II
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;C-II
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;C-II
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;C-II
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;C-II
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;C-II
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;C-II
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;C-II
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;C-II
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;C-II
Strain4;Medicago;2,00;2,00;2,00;NA;2;NA;NA;2,00;2,00;C-II
Strain4;Medicago;2,00;2,00;2,00;NA;2;NA;NA;2,00;2,00;C-II
Strain4;Medicago;2;2;2;NA;2;NA;NA;2,00;2,00;C-II
Strain4;Medicago;2;2;2;NA;2;NA;NA;2,00;2,00;C-II
Strain4;Medicago;2;2;2;NA;2;NA;NA;2,00;2,00;C-II
Strain4;Medicago;2;2;2;NA;2;NA;NA;2,00;2,00;C-II
Strain4;Medicago;2;2;2;NA;2;NA;NA;2,00;2,00;C-II
Strain4;Medicago;2;2;2;NA;2;NA;NA;2,00;2,00;C-II
Strain4;Medicago;2;2;2;NA;2;NA;NA;2,00;2,00;C-II
Strain4;Medicago;2;2;2;NA;2;NA;NA;2,00;2,00;C-II
Strain4;Medicago;2;2;2;NA;2;NA;NA;2,00;2,00;C-II
Strain4;Medicago;2;2;2;NA;2;NA;NA;2,00;2,00;C-II
Strain4;Medicago;2;2;2;NA;2;NA;NA;2,00;2,00;C-II
Strain5;Medicago;0,00;0,00;0;NA;4;NA;NA;4;4;C-II
Strain5;Medicago;0,00;0,00;2;NA;4;NA;NA;4;4;C-II
Strain5;Medicago;0;0;0;NA;4;NA;NA;4;4;C-II
Strain5;Medicago;0;0;1;NA;4;NA;NA;4;4;C-II
Strain5;Medicago;0;0;2;NA;4;NA;NA;4;4;C-II
Strain5;Medicago;0;0;1;NA;4;NA;NA;4;4;C-II
Strain5;Medicago;0;0;0;NA;4;NA;NA;4;4;C-II
Strain5;Medicago;0;0;0;NA;4;NA;NA;4;4;C-II
Strain5;Medicago;0;0;3;NA;4;NA;NA;4;4;C-II
Strain5;Medicago;0;0;3;NA;4;NA;NA;4;4;C-II
Strain5;Medicago;0;0;0;NA;4;NA;NA;4;4;C-II
Strain5;Medicago;0;0;0;NA;4;NA;NA;4;4;C-II
Strain5;Medicago;0;0;1;NA;4;NA;NA;4;4;C-II
Strain6;Medicago;0,00;0,00;2;NA;4;NA;NA;4;4;C-II
Strain6;Medicago;0,00;0,00;0;NA;4;NA;NA;4;4;C-II
Strain6;Medicago;0;0;0;NA;0;NA;NA;3;4;C-II
Strain6;Medicago;0;0;0;NA;3;NA;NA;4;4;C-II
Strain6;Medicago;0;0;0;NA;4;NA;NA;4;4;C-II
Strain6;Medicago;0;0;2;NA;4;NA;NA;4;4;C-II
Strain6;Medicago;0;0;1;NA;4;NA;NA;4;4;C-II
Strain6;Medicago;0;0;0;NA;1;NA;NA;3;4;C-II
Strain6;Medicago;0;0;0;NA;4;NA;NA;4;4;C-II
Strain6;Medicago;0;0;3;NA;4;NA;NA;4;4;C-II
Strain6;Medicago;0;0;1;NA;4;NA;NA;4;4;C-II
Strain6;Medicago;0;0;2;NA;4;NA;NA;4;4;C-II
Strain6;Medicago;0;0;0;NA;4;NA;NA;4;4;C-II
Strain7;Medicago;0,00;0;0;NA;0;NA;NA;0;0;C-II
Strain7;Medicago;0,00;1;3;NA;4;NA;NA;4;4;C-II
Strain7;Medicago;0;0;0;NA;4;NA;NA;4;4;C-II
Strain7;Medicago;0;0;0;NA;4;NA;NA;4;4;C-II
Strain7;Medicago;0;0;0;NA;0;NA;NA;3;4;C-II
Strain7;Medicago;0;0;0;NA;4;NA;NA;4;4;C-II
Strain7;Medicago;0;0;3;NA;4;NA;NA;4;4;C-II
Strain7;Medicago;0;1;2;NA;4;NA;NA;4;4;C-II
Strain7;Medicago;0;0;0;NA;0;NA;NA;1;3;C-II
Strain7;Medicago;0;0;2;NA;4;NA;NA;4;4;C-II
Strain7;Medicago;0;0;2;NA;4;NA;NA;4;4;C-II
Strain7;Medicago;0;2;2;NA;4;NA;NA;4;4;C-II
Strain7;Medicago;0;1;3;NA;4;NA;NA;4;4;C-II
Strain1;Medicago;0;3;3;NA;4;NA;NA;4;4;B-I
Strain1;Medicago;0;0;0;NA;1;NA;NA;4;4;B-I
Strain1;Medicago;0;3;3,5;NA;4;NA;NA;4;4;B-I
Strain1;Medicago;0;0;3;NA;4;NA;NA;4;4;B-I
Strain1;Medicago;0;0;3;NA;4;NA;NA;4;4;B-I
Strain1;Medicago;0;0;3;NA;4;NA;NA;4;4;B-I
Strain1;Medicago;0;2;3;NA;4;NA;NA;4;4;B-I
Strain1;Medicago;0;1;2;NA;4;NA;NA;4;4;B-I
Strain1;Medicago;0;1;3;NA;4;NA;NA;4;4;B-I
Strain1;Medicago;0;1;3;NA;4;NA;NA;4;4;B-I
Strain1;Medicago;0;0;3;NA;4;NA;NA;4;4;B-I
Strain1;Medicago;0;0;1;NA;2;NA;NA;4;4;B-I
Strain1;Medicago;0;0;0;NA;3;NA;NA;4;4;B-I
Strain2;Medicago;0;0;0;NA;0;NA;NA;1;3;B-I
Strain2;Medicago;0;0;0;NA;0;NA;NA;0;0;B-I
Strain2;Medicago;0;0;0;NA;0;NA;NA;0;0;B-I
Strain2;Medicago;0;0;0;NA;3;NA;NA;4;4;B-I
Strain2;Medicago;0;0;0;NA;0;NA;NA;0;0;B-I
Strain2;Medicago;0;0;0;NA;3;NA;NA;4;4;B-I
Strain2;Medicago;0;0;0;NA;0;NA;NA;0;0;B-I
Strain2;Medicago;0;0;0;NA;0;NA;NA;0;0;B-I
Strain2;Medicago;0;0;0;NA;3;NA;NA;4;4;B-I
Strain2;Medicago;0;0;0;NA;0;NA;NA;0;3;B-I
Strain2;Medicago;0;0;0;NA;3;NA;NA;4;4;B-I
Strain2;Medicago;0;0;0;NA;0;NA;NA;0;0;B-I
Strain2;Medicago;0;0;0;NA;2;NA;NA;4;4;B-I
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;B-I
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;B-I
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;B-I
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;B-I
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;B-I
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;B-I
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;B-I
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;B-I
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;B-I
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;B-I
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;B-I
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;B-I
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;B-I
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;B-I
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;B-I
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;B-I
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;B-I
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;B-I
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;B-I
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;B-I
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;B-I
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;B-I
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;B-I
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;B-I
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;B-I
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;B-I
Strain5;Medicago;0;0;0;NA;4;NA;NA;4;4;B-I
Strain5;Medicago;0;0;3;NA;4;NA;NA;4;4;B-I
Strain5;Medicago;0;0;0;NA;0;NA;NA;0;0;B-I
Strain5;Medicago;0;0;2;NA;4;NA;NA;4;4;B-I
Strain5;Medicago;0;0;1;NA;4;NA;NA;4;4;B-I
Strain5;Medicago;0;3;3;NA;4;NA;NA;4;4;B-I
Strain5;Medicago;0;1;3;NA;4;NA;NA;4;4;B-I
Strain5;Medicago;0;0;3;NA;4;NA;NA;4;4;B-I
Strain5;Medicago;0;0;1;NA;4;NA;NA;4;4;B-I
Strain5;Medicago;0;0;0;NA;4;NA;NA;4;4;B-I
Strain5;Medicago;0;0;3;NA;4;NA;NA;4;4;B-I
Strain5;Medicago;0;0;0;NA;4;NA;NA;4;4;B-I
Strain5;Medicago;0;1;3;NA;4;NA;NA;4;4;B-I
Strain6;Medicago;0;1;3;NA;4;NA;NA;4;4;B-I
Strain6;Medicago;0;0;0;NA;2;NA;NA;4;4;B-I
Strain6;Medicago;0;0;1;NA;4;NA;NA;4;4;B-I
Strain6;Medicago;0;0;0;NA;3;NA;NA;4;4;B-I
Strain6;Medicago;0;0;1;NA;3;NA;NA;4;4;B-I
Strain6;Medicago;0;0;3;NA;4;NA;NA;4;4;B-I
Strain6;Medicago;0;0;0;NA;4;NA;NA;4;4;B-I
Strain6;Medicago;0;0;0;NA;1;NA;NA;4;4;B-I
Strain6;Medicago;0;0;3;NA;4;NA;NA;4;4;B-I
Strain6;Medicago;0;0;0;NA;4;NA;NA;4;4;B-I
Strain6;Medicago;0;0;3;NA;4;NA;NA;4;4;B-I
Strain6;Medicago;0;0;3;NA;4;NA;NA;4;4;B-I
Strain6;Medicago;0;0;0;NA;3;NA;NA;4;4;B-I
Strain7;Medicago;0;0;0;NA;3;NA;NA;4;4;B-I
Strain7;Medicago;0;0;0;NA;0;NA;NA;0;0;B-I
Strain7;Medicago;0;0;0;NA;3;NA;NA;4;4;B-I
Strain7;Medicago;0;0;0;NA;0;NA;NA;0;0;B-I
Strain7;Medicago;0;0;3;NA;4;NA;NA;4;4;B-I
Strain7;Medicago;0;0;0;NA;0;NA;NA;4;4;B-I
Strain7;Medicago;0;3;3;NA;4;NA;NA;4;4;B-I
Strain7;Medicago;0;0;0;NA;0;NA;NA;4;4;B-I
Strain7;Medicago;0;3;3;NA;4;NA;NA;4;4;B-I
Strain7;Medicago;0;2;3;NA;4;NA;NA;4;4;B-I
Strain7;Medicago;0;0;1;NA;3;NA;NA;4;4;B-I
Strain7;Medicago;0;0;2;NA;4;NA;NA;4;4;B-I
Strain7;Medicago;0;0;3;NA;4;NA;NA;4;4;B-I
Strain1;Medicago;0;3;3,5;NA;4;NA;NA;4;4;B-II
Strain1;Medicago;0;3;3,5;NA;4;NA;NA;4;4;B-II
Strain1;Medicago;2;3,5;3,5;NA;4;NA;NA;4;4;B-II
Strain1;Medicago;0;2,5;3,5;NA;4;NA;NA;4;4;B-II
Strain1;Medicago;0;0;2;NA;4;NA;NA;4;4;B-II
Strain1;Medicago;0;2;3;NA;4;NA;NA;4;4;B-II
Strain1;Medicago;0;2;3,5;NA;4;NA;NA;4;4;B-II
Strain1;Medicago;0;3;3,5;NA;4;NA;NA;4;4;B-II
Strain1;Medicago;2;3,5;3,5;NA;4;NA;NA;4;4;B-II
Strain1;Medicago;2;3,5;3,5;NA;4;NA;NA;4;4;B-II
Strain1;Medicago;0;0;3;NA;4;NA;NA;4;4;B-II
Strain1;Medicago;0;3,5;3,5;NA;4;NA;NA;4;4;B-II
Strain1;Medicago;0;0;3;NA;4;NA;NA;4;4;B-II
